period,clock,las_score,con_score,description,team,event,x_loc,y_loc,field_goal_type,shot_made,assisted,shooting_foul,distance_from_hoop
4,09:15,54,67,[LAS 54-67] Brown Driving Layup Shot: Made (4 PTS) Assist: Walker (2 AST),las,field_goal_attempt,-65,17,two_pointer,0,1,0,6.71863081289633
4,09:05,54,69,[CON 69-54] Tuck Driving Layup Shot: Made (4 PTS) Assist: Clarendon (3 AST),con,field_goal_attempt,48,17,two_pointer,0,1,0,5.0921508225896055
4,09:05,54,69,[LAS] Walker Foul: Shooting (2 PF) (1 FTA),las,foul,48,17,NA,0,0,1,5.0921508225896055
4,08:48,56,70,[LAS 56-70] Jones Driving Floating Jump Shot: Made (4 PTS) Assist: Walker (3 AST),las,field_goal_attempt,106,-12,two_pointer,0,1,0,10.667708282475669
4,08:32,56,70,[CON] Tuck Driving Layup Shot: Missed,con,field_goal_attempt,73,19,two_pointer,1,0,0,7.543208866258444
4,08:28,56,70,[LAS] Gray Turnover : Bad Pass (4 TO) Steal:Tuck (1 ST),las,turnover,-36,430,NA,0,0,0,43.15043452851894
4,08:23,56,70,[LAS] Brown Foul: Shooting (1 PF) (2 FTA),las,foul,54,17,NA,0,0,1,5.661271941887265
4,08:10,56,71,[LAS] Mabrey 3pt Shot: Missed,las,field_goal_attempt,227,47,three_pointer,1,0,0,23.181458107720488
4,08:04,56,71,[LAS] Jones Foul: Personal (2 PF),las,foul,76,229,NA,0,0,0,24.128199269734157
4,07:56,56,73,[CON 73-56] Jones Driving Layup Shot: Made (4 PTS) Assist: Banham (1 AST),con,field_goal_attempt,-25,11,two_pointer,0,1,0,2.7313000567495327
4,07:34,56,73,[LAS] Jones 3pt Shot: Missed,las,field_goal_attempt,220,110,three_pointer,1,0,0,24.596747752497688
4,07:30,56,73,[LAS] Walker 3pt Shot: Missed,las,field_goal_attempt,238,32,three_pointer,1,0,0,24.014162487998618
4,07:26,56,73,[CON] Banham Foul: Loose Ball (1 PF),con,foul,182,32,NA,0,0,0,18.47917747087245
4,07:14,59,73,[LAS 59-73] Ogwumike 3pt Shot: Made (12 PTS) Assist: Gray (4 AST),las,field_goal_attempt,221,87,three_pointer,0,1,0,23.7507894605632
4,07:03,59,73,[CON] Jones Turnover : 3 Second Violation (1 TO),con,turnover,11,37,NA,0,0,0,3.8600518131237567
4,06:45,59,73,[LAS] Gray Turnover : Out of Bounds Lost Ball Turnover (5 TO),las,turnover,-139,125,NA,0,0,0,18.693849255838135
4,06:37,59,73,[CON] Holmes Turnover : Lost Ball (1 TO) Steal:Walker (1 ST),con,turnover,206,145,NA,0,0,0,25.19146680921935
4,06:28,59,73,[LAS] Walker Driving Layup Shot: Missed,las,field_goal_attempt,-50,19,two_pointer,1,0,0,5.3488316481265326
4,06:15,59,75,[CON 75-59] Clarendon Layup Shot: Made (4 PTS),con,field_goal_attempt,58,11,two_pointer,0,1,0,5.903388857258177
4,06:04,62,75,[LAS 62-75] Ogwumike 3pt Shot: Made (15 PTS) Assist: Jones (2 AST),las,field_goal_attempt,-142,239,three_pointer,0,1,0,27.800179855533308
4,05:52,62,75,[LAS] Walker Foul: Shooting (3 PF) (2 FTA),las,foul,-98,26,NA,0,0,1,10.139033484509262
4,05:40,65,77,[LAS 65-77] Ogwumike 3pt Shot: Made (18 PTS) Assist: Jones (3 AST),las,field_goal_attempt,74,244,three_pointer,0,1,0,25.497450852977437
4,05:16,65,77,[CON] Thomas Turnover : Bad Pass (1 TO) Steal:Gray (1 ST),con,turnover,19,18,NA,0,0,0,2.6172504656604803
4,05:04,67,77,[LAS 67-77] Ogwumike Cutting Layup Shot: Made (12 PTS) Assist: Mabrey (1 AST),las,field_goal_attempt,27,11,two_pointer,0,1,0,2.9154759474226504
4,04:52,67,77,[CON] Williams Pullup Jump shot: Missed,con,field_goal_attempt,67,160,two_pointer,1,0,0,17.346181135915767
4,04:45,67,77,[LAS] Mabrey Driving Layup Shot: Missed Block: Jones (5 BLK),las,field_goal_attempt,42,27,two_pointer,1,0,0,4.992995093127972
