pitch_type,release_speed,release_spin_rate,plate_x,plate_z,type,balls,strikes,events
FF,96.7,2432,0.1565,3.8696,B,0,2,NA
SL,89.7,2547,0.7549,1.8499,S,0,1,NA
FF,95.1,2282,0.3199,2.2926,S,0,0,NA
CH,89.7,1622,0.7734,1.0889,X,1,2,field_out
FF,96.7,2316,0.612,3.7015,S,1,2,NA
FT,96.9,2441,0.9918,2.9723,S,1,2,NA
FT,96.8,2347,1.5176,2.0301,B,0,2,NA
FF,96.2,2503,1.1795,2.0058,S,0,1,NA
CU,83.4,2529,0.5808,3.3545,S,0,0,NA
FF,96.7,2341,0.0605,2.3207,X,3,2,field_out
SL,91.8,2602,0.5592,2.8741,S,3,2,NA
SL,91.7,2516,1.4587,1.6939,B,2,2,NA
SL,91,2495,1.7163,2.0741,B,1,2,NA
SL,91.8,2653,0.6498,2.626,S,1,1,NA
SL,91.5,2598,0.4447,3.0267,S,1,0,NA
SL,91.7,2586,1.7252,0.1399,B,0,0,NA
FF,96.9,2461,-0.488,2.25,S,2,2,strikeout
FF,95.4,2379,-0.4228,2.7139,S,2,1,NA
FF,94.8,2388,-0.669,2.2702,S,2,0,NA
CH,87.9,1639,-1.3428,3.4599,B,1,0,NA
SL,90.9,2491,1.1691,1.3864,B,0,0,NA
FF,97.7,2438,0.7985,2.2884,X,1,2,field_out
SL,91.2,2655,1.1603,2.3639,S,1,1,NA
FF,97.3,2404,1.2239,2.1884,B,0,1,NA
FF,96.3,2341,0.2199,3.221,S,0,0,NA
SL,90.8,2467,0.5667,3.3218,X,1,0,field_out
SL,91.2,2434,1.1343,2.6545,B,0,0,NA
SL,91.3,2604,1.09,2.231,X,0,1,field_out
FF,95.8,2389,0.0492,3.1803,S,0,0,NA
CH,90.3,1742,0.0072,2.2008,X,1,1,field_out
SL,92.4,2564,-0.8833,1.9209,B,0,1,NA
CU,82.2,2624,-0.5408,2.6485,S,0,0,NA
FF,95.9,2528,0.4647,2.8228,S,0,2,strikeout
SL,92.1,2556,0.403,1.1338,S,0,1,NA
FF,95.5,2410,0.6269,2.3984,S,0,0,NA
SL,91.7,2581,1.3725,2.123,X,2,2,field_out
FF,96.9,2548,0.3871,2.3827,S,2,2,NA
SL,91.6,2582,1.1012,2.1003,S,2,1,NA
FF,95,2491,1.1989,1.8728,B,1,1,NA
CU,84.9,2523,1.2526,2.0548,B,0,1,NA
CU,81.9,2545,0.2115,3.3247,S,0,0,NA
SL,92.1,2524,1.6704,1.7149,S,1,2,strikeout
CH,90.2,1674,0.0608,1.9695,S,1,2,NA
SL,92.7,2588,2.2059,1.3081,B,0,2,NA
FF,96.7,2494,0.1302,2.4092,S,0,2,NA
