year,league,team_id,team_name,win_world_series,final_rank,games_played,wins,losses,runs_scored,hits,at_bats,walks,strikeouts,homeruns,hit_by_pitch,sacrifice_flies,runs_allowed,hits_allowed,walks_allowed,strikeouts_against,homeruns_allowed
1887,NL,PHI,Philadelphia Quakers,N,2,128,75,48,901,1269,4630,385,346,47,52,NA,702,1173,305,435,48
1887,NL,PIT,Pittsburg Alleghenys,N,6,125,55,69,621,1141,4414,319,381,20,38,NA,750,1287,246,248,39
1887,AA,SL4,St. Louis Browns,N,1,137,95,40,1131,1550,5048,442,342,39,67,NA,761,1254,323,334,19
1887,NL,WS8,Washington Nationals,N,7,126,46,76,601,1039,4314,269,339,47,41,NA,825,1216,299,396,47
1888,AA,BL2,Baltimore Orioles,N,5,137,57,80,653,1068,4656,298,479,19,58,NA,779,1162,419,525,23
1888,AA,BR3,Brooklyn Bridegrooms,N,2,143,88,52,758,1177,4871,353,439,25,56,NA,584,1059,285,577,15
1888,NL,BSN,Boston Beaneaters,N,4,137,70,64,669,1183,4834,282,524,56,32,NA,619,1104,269,484,36
1888,NL,CHN,Chicago White Stockings,N,2,135,77,58,734,1201,4616,290,563,77,28,NA,659,1139,308,588,63
1888,AA,CL3,Cleveland Blues,N,6,135,50,82,651,1076,4603,315,559,12,79,NA,839,1235,389,500,38
1888,AA,CN2,Cincinnati Red Stockings,N,4,137,80,54,745,1161,4801,345,555,32,60,NA,628,1103,310,539,19
1888,NL,DTN,Detroit Wolverines,N,5,134,68,63,721,1275,4849,307,396,51,46,NA,629,1115,183,522,44
1888,NL,IN3,Indianapolis Hoosiers,N,7,136,50,85,603,1100,4623,236,492,34,43,NA,731,1260,308,388,64
1888,AA,KC2,Kansas City Cowboys,N,8,132,43,89,579,1000,4588,288,604,19,57,NA,896,1306,401,381,32
1888,AA,LS2,Louisville Colonels,N,7,139,48,87,689,1177,4881,322,604,14,69,NA,870,1265,281,599,28
1888,NL,NY1,New York Giants,Y,1,137,84,47,659,1149,4747,270,456,55,29,NA,479,907,307,726,27
1888,AA,PH4,Philadelphia Athletics,N,3,136,81,52,827,1209,4828,303,473,31,77,NA,594,988,324,596,14
1888,NL,PHI,Philadelphia Quakers,N,3,131,69,61,535,1021,4528,268,485,16,51,NA,509,1072,196,519,26
1888,NL,PIT,Pittsburg Alleghenys,N,6,138,66,68,534,1070,4713,194,583,14,46,NA,580,1190,223,367,23
1888,AA,SL4,St. Louis Browns,N,1,137,92,43,789,1189,4755,410,521,36,50,NA,501,939,225,517,19
1888,NL,WS8,Washington Nationals,N,8,136,48,86,482,944,4546,246,499,30,43,NA,731,1157,298,406,50
1889,AA,BL2,Baltimore Orioles,N,5,139,70,65,791,1209,4756,418,536,20,82,NA,795,1168,424,540,27
