player,position,age,team,games,games_started,minutes_played,field_goals,field_goal_attempts,three_pointers,three_point_attempts,two_pointers,two_point_attempts,free_throws,free_throw_attempts,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
Jared Terrell,SG,23,MIN,14,0,111,12,39,4,17,8,22,3,6,1,5,12,3,2,10,16
Emanuel Terry,PF,22,TOT,3,0,23,4,7,0,0,4,7,2,4,3,4,2,3,0,2,4
Emanuel Terry,PF,22,PHO,2,0,20,4,6,0,0,4,6,1,2,2,4,1,3,0,2,4
Emanuel Terry,PF,22,MIA,1,0,3,0,1,0,0,0,1,1,2,1,0,1,0,0,0,0
Daniel Theis,C,26,BOS,66,2,908,146,266,26,67,120,199,56,76,87,138,68,21,42,33,161
Isaiah Thomas,SG,29,DEN,12,0,181,34,99,12,43,22,56,17,27,5,8,23,5,1,18,17
Khyri Thomas,SG,22,DET,26,0,195,22,69,10,35,12,34,7,11,4,16,8,7,5,4,22
Lance Thomas,PF,30,NYK,46,17,783,78,197,22,79,56,118,27,36,21,96,27,17,7,24,83
Klay Thompson,SG,28,GSW,78,78,2652,655,1402,241,599,414,803,129,158,37,262,186,84,47,115,157
Tristan Thompson,C,27,CLE,43,40,1198,201,380,0,0,201,380,68,106,173,265,86,28,16,59,89
Sindarius Thornwell,SG,24,LAC,64,1,313,17,49,3,15,14,34,25,34,5,39,18,14,7,20,41
Anthony Tolliver,PF,33,MIN,65,0,1079,99,259,81,215,18,44,47,60,15,162,46,17,21,36,91
Karl-Anthony Towns,C,23,MIN,77,77,2545,681,1314,142,355,539,959,376,450,263,691,259,67,125,240,292
Gary Trent,SG,20,POR,15,1,111,16,50,5,21,11,29,3,7,1,10,5,1,2,4,4
Allonzo Trier,SG,23,NYK,64,3,1459,232,518,52,132,180,386,179,223,31,166,119,28,14,116,117
P.J. Tucker,PF,33,HOU,82,82,2802,207,523,146,387,61,136,41,59,121,358,96,132,39,63,252
